Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,27pF,C_0402_HandSolder,68.8,-121.4,90,top
C2,27pF,C_0402_HandSolder,73.4,-120.5,-90,top
C3,100nF,C_0402_HandSolder,68.6,-118.07,180,top
C4,100nF,C_0402_HandSolder,76.7,-120.5,-90,top
C5,100nF,C_0402_HandSolder,88.7,-116.6,0,top
C6,1uF,C_0402_HandSolder,88.7,-120.7,0,top
C7,1uF,C_0402_HandSolder,88.7325,-121.7,0,top
C8,100nF,C_0402_HandSolder,84.9,-121.7,0,top
C9,100nF,C_0402_HandSolder,75.7,-120.5,-90,top
C10,100nF,C_0402_HandSolder,87.1,-113,0,top
C11,100nF,C_0402_HandSolder,88.7,-117.6,0,top
C12,1uF,C_0402_HandSolder,160.8,-69.1,90,top
C13,1uF,C_0402_HandSolder,166.9,-68.9,90,top
C14,100nF,C_0402_HandSolder,97.52,-120.33,90,top
D1,D,D_SOD-123,47.625,-85.725,180,top
D2,D,D_SOD-123,47.625,-104.775,180,top
D3,D,D_SOD-123,38.45,-110.1,90,top
D5,D,D_SOD-123,66.675,-80.9625,180,top
D6,D,D_SOD-123,66.675,-100.0125,180,top
D7,D,D_SOD-123,75.04,-105.49,90,top
D10,D,D_SOD-123,85.725,-76.2,180,top
D11,D,D_SOD-123,85.725,-95.25,180,top
D12,D,D_SOD-123,95.25,-100.0125,90,top
D13,D,D_SOD-123,104.775,-80.9625,180,top
D14,D,D_SOD-123,104.775,-100.0125,180,top
D15,D,D_SOD-123,114.3,-104.775,90,top
D16,D,D_SOD-123,123.825,-85.725,180,top
D17,D,D_SOD-123,123.825,-104.775,180,top
D18,D,D_SOD-123,133.35,-109.5375,90,top
D20,D,D_SOD-123,142.875,-90.4875,180,top
D21,D,D_SOD-123,142.875,-109.5375,180,top
D22,D,D_SOD-123,152.4,-114.3,90,top
D24,D,D_SOD-123,161.925,-90.4875,180,top
D25,D,D_SOD-123,162.1,-109.5375,180,top
D26,D,D_SOD-123,171.45,-114.3,90,top
D28,D,D_SOD-123,180.975,-85.725,180,top
D29,D,D_SOD-123,180.975,-104.775,180,top
D30,D,D_SOD-123,190.5,-109.5375,90,top
D31,D,D_SOD-123,200.025,-80.9625,180,top
D32,D,D_SOD-123,200.025,-100.0125,180,top
D33,D,D_SOD-123,209.55,-104.775,90,top
D35,D,D_SOD-123,219.075,-76.2,180,top
D36,D,D_SOD-123,219.075,-95.25,180,top
D37,D,D_SOD-123,228.6,-100.0125,90,top
D39,D,D_SOD-123,238.125,-80.9625,180,top
D40,D,D_SOD-123,238.125,-100.0125,180,top
D41,D,D_SOD-123,229.95,-105.36,90,top
D43,D,D_SOD-123,257.175,-85.725,180,top
D44,D,D_SOD-123,257.175,-104.775,180,top
D45,D,D_SOD-123,266.7,-109.5375,90,top
J3,USB_C_Receptacle_USB2.0,USB C-31-M-12,152.37,-71.9775,180,top
R1,1k,R_0402_HandSolder,71.84,-118.05,180,top
R2,1k,R_0402_HandSolder,74.5,-120.5025,90,top
R3,27R,R_0402_HandSolder,88.7,-118.7,0,top
R4,27R,R_0402_HandSolder,88.7025,-119.69,0,top
R5,1k,R_0402_HandSolder,90,-113.6,90,top
R6,5.1k,R_0402_HandSolder,160.8,-71.5025,90,top
R7,5.1k,R_0402_HandSolder,144.5,-71.9,90,top
R8,10k,R_0402_HandSolder,88.9,-113.5975,90,top
U1,RP2040,RP2040-QFN-56,81.775,-116.825,-90,top
U2,XC6206PxxxMR,SOT-23-3,164.3,-70.4,180,top
U3,USBLC6-2SC6,SOT-23-6,152.39,-82.42,-90,top
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,93.8,-117.3,-90,top
Y1,Crystal_GND24_Small,Crystal_SMD_2520-4Pin_2.5x2.0mm,71.1,-120.6,0,top
